Type,Station name,Jan.,Feb.,March,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Year
Frost days,Heinsberg-Schleiden ,13.7,11.8,7.3,2.8,0,0,0,0,0,1.1,5.1,11.8,53.5
Hot days,Heinsberg-Schleiden ,0,0,0,0,0.1,0.9,3.2,2.8,0.2,0,0,0,7.1
Percipitation,Heinsberg-Schleiden ,60,52,56,43,59,74,69,60,64,58,61,65,722
Summer days,Heinsberg-Schleiden ,0,0,0,0.7,3.3,6.6,11.9,10.3,2.6,0.1,0,0,35.5
Sunshine Duration,Heinsberg-Schleiden ,56,77,114,164,194,196,211,194,142,111,60,44,1563
Temperature ,Heinsberg-Schleiden ,2.8,3.3,6.4,9.5,13.8,16.3,18.5,18,14.5,10.7,6.5,3.6,10.3
Ice days,Helgoland ,3,2.8,0.5,0,0,0,0,0,0,0,0.1,1.1,7.5
Frost days,Helgoland ,8.7,8.7,4.1,0.2,0,0,0,0,0,0,0.7,6.1,28.3
Hot days,Helgoland ,0,0,0,0,0,0,0,0,0,0,0,0,0
Percipitation,Helgoland ,58,43,50,34,42,54,64,80,87,87,79,68,744
Summer days,Helgoland ,0,0,0,0,0,0.1,0.8,0.9,0,0,0,0,1.8
Sunshine Duration,Helgoland ,50,78,127,195,252,234,245,223,154,107,55,39,1757
Temperature ,Helgoland ,3.4,2.8,4.3,7.1,10.9,14,16.8,17.4,15.3,11.9,7.8,4.7,9.7
Ice days,Helmstedt ,6.8,5.7,0.8,0,0,0,0,0,0,0,1.2,5.7,20.1
Frost days,Helmstedt ,16,15.8,10.9,3.7,0.2,0,0,0,0,2.1,7.8,15.6,72
Hot days,Helmstedt ,0,0,0,0,0.2,0.9,3.2,3.1,0.3,0,0,0,7.7
Percipitation,Helmstedt ,48,41,49,43,52,67,58,57,47,43,48,56,608
Summer days,Helmstedt ,0,0,0,0.3,3,6.1,11.5,12.1,3.1,0.2,0,0,36.3
Sunshine Duration,Helmstedt ,49,73,109,168,215,205,216,203,143,109,50,39,1579
Temperature ,Helmstedt ,0.9,1.2,4.5,8.7,13.7,16.1,18.6,18.2,14.2,9.8,4.8,1.9,9.4
Ice days,Herford ,4.6,3.4,0.4,0,0,0,0,0,0,0,0.7,3,12.1
Frost days,Herford ,13,12.9,7.6,2.7,0.1,0,0,0,0,1.6,5.4,11.9,55.1
Hot days,Herford ,0,0,0,0,0.2,1.3,3.4,3.1,0.1,0,0,0,8.1
Percipitation,Herford ,88,65,73,55,70,81,78,73,80,72,72,88,894
